Medida_1,Medida_2,Medida_3,Medida_4,Medida_5,Medida_6,Medida_7,Desvio_1,Desvio_2,Desvio_3,Desvio_4,Desvio_5,Desvio_6,Desvio_7
8.5605,16.4966,16.3946,12.6071,9.0864,19.0856,10.8271,0.0152,1.0412,0.0195,0.0288,0.0207,0.0423,0.0461
8.5411,16.0129,16.3916,12.6112,9.1145,19.0839,10.8758,0.021,1.35,0.0273,0.0313,0.0234,0.0309,0.0381
8.5535,16.4039,16.3776,12.5948,9.1122,19.0733,10.8564,0.0257,1.1596,0.0254,0.0401,0.0152,0.0316,0.0271
8.5816,15.1727,16.3793,12.596,9.1057,19.0575,10.8441,0.0167,0.4126,0.0231,0.0397,0.0206,0.033,0.0246
8.5822,15.4893,16.3623,12.5778,9.111,19.0387,10.8083,0.0178,0.6155,0.0251,0.0282,0.0157,0.0308,0.023
8.5974,16.9322,16.3547,12.5655,9.1245,19.0323,10.7837,0.0128,0.544,0.0285,0.0349,0.0143,0.0287,0.0525
8.6244,15.205,16.3359,12.5356,9.1192,19.0124,10.8617,0.0178,0.5491,0.0327,0.0279,0.0187,0.0401,0.03
8.6267,14.5296,16.3254,12.5098,9.0559,18.9977,10.8488,0.0104,0.1504,0.0271,0.0365,0.0181,0.0318,0.0337
8.6174,16.1067,16.3025,12.5027,9.0219,18.9461,10.8693,0.0109,0.0425,0.0237,0.0364,0.0167,0.0363,0.0367
8.6273,16.9093,16.2579,12.4851,8.9891,18.9502,10.7978,0.0092,0.8324,0.0369,0.0258,0.0177,0.0295,0.0329
8.676,16.0041,16.2169,12.4593,8.9539,18.9109,10.7327,0.0248,0.101,0.0247,0.031,0.0182,0.0329,0.044
8.6813,16.4004,16.1712,12.4441,8.9357,18.8951,10.7257,0.0137,0.8882,0.0293,0.0315,0.0185,0.0448,0.0365
8.6901,15.1364,16.1272,12.4289,8.9404,18.8711,10.806,0.0259,0.8193,0.0312,0.0433,0.0214,0.0392,0.0268
8.7411,14.0951,16.1114,12.4001,8.8947,18.8488,10.7685,0.0149,1.1974,0.0363,0.0425,0.0225,0.0424,0.0303
8.7364,14.4481,16.0141,12.3843,8.8536,18.8118,10.765,0.0165,1.0239,0.0524,0.0465,0.021,0.0388,0.0346
8.7639,15.7842,15.9419,12.3438,8.8085,18.816,10.7169,0.015,1.4715,0.059,0.0246,0.0188,0.0291,0.0323
8.7704,17.1145,15.9021,12.328,8.7974,18.7995,10.7972,0.013,0.4836,0.0612,0.0394,0.0185,0.0347,0.1398
8.8296,17.2218,15.847,12.2881,8.7944,18.7579,11.3812,0.0231,0.2145,0.0602,0.0342,0.0185,0.0401,0.0219
8.795,16.8548,15.8001,12.2629,8.7458,18.7585,11.0716,0.0166,0.3846,0.0363,0.0322,0.0236,0.0318,0.0206
8.8214,16.6572,15.749,12.2483,8.7176,18.7251,11.03,0.0152,0.3982,0.0626,0.0273,0.0162,0.0365,0.0335
8.8659,16.2808,15.7156,12.2172,8.7035,18.6963,10.976,0.0207,0.318,0.0547,0.0374,0.0153,0.0434,0.1379
8.8923,16.6666,15.7051,12.2178,8.6971,18.6706,11.5266,0.0146,0.9682,0.0528,0.0388,0.0119,0.0549,0.0454
8.88,16.4497,15.6875,12.1879,8.6906,18.6653,11.0376,0.0172,0.546,0.0534,0.0366,0.0169,0.0341,0.0521
8.9129,16.7334,15.6359,12.1785,8.6742,18.6295,10.9649,0.0155,0.3645,0.0473,0.0262,0.0178,0.0337,0.0609
8.9445,16.5458,15.6142,12.1205,8.6467,18.6195,11.7839,0.0232,0.0337,0.0507,0.0266,0.0219,0.0326,0.0297
8.9685,16.4333,15.6077,12.1146,8.6385,18.5885,10.9877,0.0154,0.1688,0.0541,0.0234,0.0222,0.0399,0.2819
8.999,17.0489,15.5773,12.0841,8.6297,18.5615,10.9221,0.0143,0.2482,0.0641,0.0301,0.0161,0.04,0.056
8.9615,16.8894,15.5157,12.0466,8.6584,18.5574,10.8136,0.0171,0.095,0.0454,0.0312,0.0175,0.0344,0.0686
9.0113,16.1641,15.4958,12.0231,8.6326,18.5128,10.9168,0.0281,0.0783,0.0314,0.0283,0.0167,0.0441,0.2044
9.026,16.2298,15.4999,11.9997,8.605,18.5146,10.8113,0.0163,0.0542,0.0437,0.0299,0.0155,0.046,0.0285
9.0559,15.861,15.4459,11.9874,8.5851,18.4853,10.8382,0.0209,0.517,0.0362,0.0212,0.0185,0.043,0.0372
9.084,14.767,15.4219,11.9674,8.6314,18.4454,10.8552,0.0196,1.1725,0.0403,0.0274,0.0343,0.0441,0.0274
9.0969,14.1133,15.3791,11.9499,8.6179,18.4278,10.8547,0.0154,0.8259,0.0306,0.0304,0.0261,0.0571,0.0583
9.1116,15.5315,15.3334,11.9235,8.6185,18.5515,10.8963,0.0155,0.7962,0.0273,0.041,0.0482,0.5211,0.0172
9.1005,17.3133,15.3146,11.9006,8.6086,18.7374,10.8517,0.0148,0.8879,0.0425,0.0287,0.0618,0.7627,0.0308
9.1603,17.1192,15.314,11.8842,8.5423,19.0774,10.8377,0.0175,0.401,0.0315,0.0377,0.0343,0.9709,0.0285
9.1491,17.8814,15.2847,11.8689,8.5001,21.4267,10.8705,0.0217,0.9138,0.0246,0.0251,0.0387,1.0775,0.0418
9.1691,16.7411,15.2695,11.842,8.4766,21.4725,10.8617,0.0227,1.0207,0.0344,0.0395,0.0423,1.0113,0.0304
9.2054,16.846,15.2401,11.8009,8.4444,21.9333,10.8541,0.0198,0.0255,0.0273,0.034,0.031,0.7108,0.0349
9.1913,17.1538,15.2484,11.7833,8.4104,22.1227,10.857,0.0218,0.3581,0.0397,0.044,0.0375,0.7466,0.03
9.2336,18.1646,15.2208,11.747,8.374,22.6339,10.8887,0.0229,0.5032,0.0366,0.027,0.0195,0.0182,0.0161
9.2488,15.8464,15.2595,11.7435,8.3717,22.3408,10.8892,0.0186,0.1364,0.0386,0.0333,0.0325,0.3146,0.0215
9.2635,16.7088,15.2548,11.7312,8.3271,21.7152,10.9367,0.0225,0.1795,0.0354,0.0343,0.0241,0.6889,0.0207
9.3109,16.9996,15.2736,11.7054,8.2914,21.9456,10.9461,0.0182,0.0406,0.0532,0.028,0.0222,0.3832,0.025
9.2916,16.3389,15.2437,11.6749,8.2867,21.7421,10.9801,0.0239,0.3961,0.0685,0.0304,0.0193,0.8581,0.0202
9.3397,16.0305,15.2665,11.6602,8.2621,20.8826,10.9543,0.0136,0.0567,0.064,0.0327,0.0192,1.1753,0.0238
9.3485,16.3951,15.253,11.6198,8.2374,20.8434,11.0077,0.0115,0.3445,0.0869,0.0378,0.0104,0.8665,0.0369
9.3473,18.0508,15.2566,11.6028,8.2245,20.7988,11.03,0.0155,0.6631,0.0947,0.0227,0.0206,1.5658,0.0173
9.3666,15.1311,15.2372,11.5623,8.2058,20.6598,11.0188,0.0172,0.7832,0.048,0.043,0.0195,1.1985,0.0237
9.3854,13.354,15.1897,11.5324,8.1964,20.1844,11.0065,0.0199,0.7539,0.0715,0.0382,0.0236,1.0667,0.0324
9.4059,13.2379,15.1839,11.5307,8.1741,20.2084,11.0165,0.0289,0.6221,0.064,0.0356,0.0321,1.4881,0.0184
9.4118,15.4143,15.185,11.4967,8.1401,20.0542,11.0593,0.0204,1.1695,0.0658,0.0269,0.0183,0.9928,0.0226
9.4171,15.5755,15.2026,11.4726,8.1208,20.8709,11.0962,0.0222,0.6894,0.0365,0.0381,0.0162,1.0893,0.0222
9.4165,14.1713,15.1739,11.4679,8.1196,20.1703,11.1156,0.0272,0.8473,0.0571,0.0309,0.0185,1.3978,0.0266
9.4804,12.963,15.1968,11.4345,8.1032,20.0102,11.1032,0.03,0.6312,0.0434,0.0347,0.032,1.8655,0.0241
9.5044,13.0046,15.1991,11.4251,8.1079,20.4541,11.139,0.0259,0.8206,0.0393,0.0251,0.0357,1.4893,0.032
9.5074,12.6874,15.2138,11.3864,8.1284,19.2615,11.166,0.0343,0.054,0.0218,0.0194,0.0322,1.1901,0.0234
9.532,12.6991,15.1762,11.3577,8.4784,21.0773,11.2012,0.0409,0.0665,0.0266,0.0247,0.2055,1.3053,0.0256
9.5548,12.6188,15.1686,11.3395,8.7469,19.5547,11.2352,0.0395,0.0493,0.0156,0.0396,0.1091,1.5862,0.0171
9.5736,12.5918,15.1375,11.3331,8.6127,19.8168,11.2827,0.0309,0.0592,0.0269,0.0265,0.1367,1.4931,0.0157
9.5765,12.6423,15.1059,11.2803,8.3559,19.696,11.3026,0.0371,0.0424,0.0181,0.0298,0.1545,1.2282,0.0152
9.6053,12.6188,15.0179,11.2563,8.2797,19.4497,11.3196,0.0374,0.0493,0.161,0.0195,0.1213,1.4082,0.0285
9.6475,12.5918,15.0273,11.2352,8.2539,19.618,11.3284,0.021,0.0521,0.0229,0.0248,0.1697,1.3813,0.0252
9.6604,12.5215,14.9904,11.2152,8.0721,19.448,11.3131,0.0259,0.0416,0.0207,0.032,0.0709,1.2886,0.0241
9.6885,12.5004,15.015,11.2129,8.0909,19.3612,11.2961,0.0475,0.0456,0.1821,0.0277,0.0237,1.4001,0.0312
9.7108,12.5285,14.9962,11.1795,8.0797,19.037,11.2985,0.043,0.0385,0.1945,0.0243,0.0231,1.4136,0.0281
9.7571,12.5608,15.0584,11.1607,8.0475,19.4855,11.3471,0.0403,0.0564,0.1943,0.0268,0.0362,1.3961,0.022
9.7794,12.5092,14.92,11.1537,8.0856,19.9147,11.3466,0.038,0.0413,0.0712,0.0322,0.0251,1.6845,0.0248
9.7694,12.464,14.9095,11.1126,8.1495,20.664,11.3718,0.0503,0.0373,0.0581,0.0335,0.0349,1.3684,0.0216
9.814,12.4623,14.8831,11.0991,8.3371,20.6698,11.3747,0.0438,0.0212,0.0598,0.0312,0.0576,1.2128,0.0169
9.8357,12.4799,14.7582,11.088,8.5259,20.9665,11.3718,0.0345,0.0388,0.0487,0.0239,0.0162,1.2945,0.015
9.9037,12.474,14.7711,11.0505,8.4608,21.3001,11.377,0.0442,0.0278,0.0811,0.0255,0.2066,1.0833,0.0179
9.9131,12.4476,14.6638,11.0241,8.2603,21.1817,11.3999,0.0488,0.0478,0.0662,0.032,0.2098,0.865,0.018
9.9565,12.4359,14.6691,10.9907,7.8569,21.8477,11.4099,0.0479,0.0456,0.2691,0.0362,0.1259,0.0381,0.0086
9.9817,12.4007,14.8186,10.9819,7.7397,22.0517,11.421,0.0221,0.0305,0.4014,0.0344,0.1325,0.0376,0.0212
